iter	Passed	Remaining
678	908	429
679	909	428
680	910	426
681	912	425
682	913	423
683	914	422
684	916	421
685	917	419
686	918	418
687	920	417
688	921	415
689	922	414
690	923	413
691	925	411
692	927	410
693	929	409
694	930	408
695	931	407
696	933	405
697	934	404
698	936	403
699	937	401
700	938	400
701	940	399
702	942	398
703	944	396
704	945	395
705	947	394
706	948	393
707	949	391
708	950	390
709	952	388
710	953	387
711	954	386
712	955	384
713	957	383
714	958	381
715	959	380
716	960	379
717	962	377
718	963	376
719	964	375
720	966	373
721	967	372
722	968	371
723	970	369
724	971	368
725	972	367
726	974	365
727	976	364
728	977	363
729	979	362
730	980	360
731	981	359
732	982	358
733	984	356
734	985	355
735	986	354
736	988	352
737	989	351
738	990	349
739	992	348
740	993	347
741	994	345
742	996	344
743	997	343
744	999	342
745	1001	340
746	1002	339
747	1003	338
748	1005	336
749	1006	335
750	1007	334
751	1009	332
752	1010	331
753	1012	330
754	1013	328
755	1014	327
756	1016	326
757	1017	324
758	1019	323
759	1020	322
760	1021	320
761	1023	319
762	1024	318
763	1025	316
764	1027	315
765	1028	314
766	1030	312
767	1031	311
768	1033	310
769	1034	308
770	1035	307
771	1037	306
772	1038	304
773	1040	303
774	1041	302
775	1043	301
776	1044	299
777	1046	298
778	1047	297
779	1049	295
780	1050	294
781	1051	293
782	1053	291
783	1054	290
784	1055	289
785	1056	287
786	1057	286
787	1059	284
788	1060	283
789	1061	282
790	1062	280
791	1064	279
792	1065	278
793	1066	276
794	1067	275
795	1068	273
796	1070	272
797	1071	271
798	1072	269
799	1073	268
800	1075	267
801	1077	265
802	1078	264
803	1079	263
804	1080	261
805	1082	260
806	1083	259
807	1084	257
808	1086	256
809	1087	255
810	1088	253
811	1089	252
812	1090	250
813	1091	249
814	1093	248
815	1094	246
816	1096	245
817	1097	244
818	1098	242
819	1100	241
820	1101	240
821	1102	238
822	1104	237
823	1105	236
824	1106	234
825	1107	233
826	1109	232
827	1110	230
828	1111	229
829	1112	227
830	1113	226
831	1115	225
832	1116	223
833	1117	222
834	1118	221
835	1120	219
836	1122	218
837	1123	217
838	1125	215
839	1126	214
840	1128	213
841	1129	211
842	1131	210
843	1132	209
844	1133	207
845	1134	206
846	1135	205
847	1136	203
848	1137	202
849	1139	201
850	1140	199
851	1142	198
852	1143	197
853	1144	195
854	1145	194
855	1147	192
856	1148	191
857	1149	190
858	1150	188
859	1152	187
860	1153	186
861	1154	184
862	1155	183
863	1156	182
864	1158	180
865	1159	179
866	1160	178
867	1161	176
868	1163	175
869	1164	174
870	1165	172
871	1166	171
872	1168	169
873	1169	168
874	1170	167
875	1172	165
876	1173	164
877	1175	163
878	1176	161
879	1177	160
880	1179	159
881	1180	157
882	1181	156
883	1183	155
884	1184	153
885	1185	152
886	1186	151
887	1188	149
888	1189	148
889	1190	147
890	1191	145
891	1193	144
892	1194	143
893	1196	141
894	1197	140
895	1198	139
896	1199	137
897	1200	136
898	1202	135
899	1203	133
900	1204	132
901	1206	131
902	1207	129
903	1209	128
904	1210	127
905	1212	125
906	1213	124
907	1214	123
908	1215	121
909	1217	120
910	1218	119
911	1219	117
912	1220	116
913	1221	114
914	1222	113
915	1224	112
916	1225	110
917	1226	109
918	1227	108
919	1229	106
920	1230	105
921	1231	104
922	1232	102
923	1234	101
924	1236	100
925	1237	98
926	1239	97
927	1240	96
928	1241	94
929	1243	93
930	1244	92
931	1245	90
932	1246	89
933	1248	88
934	1249	86
935	1250	85
936	1252	84
937	1253	82
938	1254	81
939	1255	80
940	1257	78
941	1258	77
942	1259	76
943	1261	74
944	1262	73
945	1263	72
946	1264	70
947	1266	69
948	1267	68
949	1268	66
950	1270	65
951	1271	64
952	1272	62
953	1273	61
954	1274	60
955	1276	58
956	1277	57
957	1278	56
958	1279	54
959	1281	53
960	1282	52
961	1283	50
962	1284	49
963	1286	48
964	1287	46
965	1288	45
966	1289	44
967	1291	42
968	1292	41
969	1293	40
970	1294	38
971	1296	37
972	1297	36
973	1299	34
974	1300	33
975	1302	32
976	1303	30
977	1304	29
978	1306	28
979	1307	26
980	1308	25
981	1310	24
982	1311	22
983	1313	21
984	1314	20
985	1315	18
986	1316	17
987	1318	16
988	1319	14
989	1320	13
990	1322	12
991	1323	10
992	1324	9
993	1325	8
994	1327	6
995	1328	5
996	1329	4
997	1331	2
998	1332	1
999	1333	0
